日期,時段,指標,系統,1 福德一路/上匝道,西向,東向,2 福德一路/下匝道,下匝道,東向,3 福德一路/和成路,西向,東向(車尾),東向(路口4照車尾),4 福德一路/和平路,和平路南向,福德西向,和平路北向,和強路東向(車尾),5 八德轉運站出入口,西向,東向,6 和強路/120巷,東向,7 和強路/延平路,延平路南向,和強路西向,延平路北向,和強路東向,10 和平路/富榮街,和平路南向,和平路北向,14 大安小學,和平路東向,路徑1,路徑2,路徑3,路徑4,平均旅行時間,加權平均旅行時間,加權平均旅行時間_含邊界_先加,加權平均旅行時間_含邊界_後加,總加權旅行時間,延平路->和平路 (往東),和平路-> 上匝道前 (往東),上匝道前-> 上匝道後 (往東),東匝入口-> 下匝道後 (往西),下匝道後-> 和平路 (往西),和平路-> 延平路 (往西),和平路口左轉-> 和平路704巷,大安國小-> 和平/和強路口,大安國小-> 右轉和強路上匝道前 (往北)
2026-06-10,17:30~18:30,平均停等延滯,109.2,8.1,49.5,1.0,11.8,20.5,1.3,7.7,11.9,2.8,6.9,38.6,61.5,40.0,32.6,30.6,3.6,0.9,8.7,10.0,10.0,46.7,129.9,30.3,28.8,22.5,10.2,7.6,14.0,2.3,2.3,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,06:30~20:30,總停等延滯,4197933.0,180117.0,74298.0,105819.0,168750.0,121744.0,47006.0,591316.0,274811.0,94938.0,221567.0,1699810.0,234493.0,790522.0,368755.0,306040.0,260031.0,12288.0,247743.0,186221.0,186221.0,782512.0,339103.0,159279.0,90098.0,194032.0,244652.0,65048.0,179604.0,84524.0,84524.0,nan,nan,356.6,253.1,-,-,-,-,-,-,110.0,44.5,46.1,126.4,-,126.7,237.4,56.4
2026-06-11,06:30~20:30,通過量,40801.0,13056.0,1885.0,11171.0,22223.0,11370.0,10853.0,67114.0,24604.0,22490.0,20020.0,47848.0,3536.0,22359.0,11623.0,10330.0,20237.0,11009.0,9228.0,9530.0,9530.0,24241.0,4255.0,10607.0,2545.0,6834.0,22232.0,11856.0,10376.0,8325.0,8325.0,0.0,0.0,10.1,12.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,06:30~20:30,平均停等延滯,102.9,13.8,39.4,9.5,7.6,10.7,4.3,8.8,11.2,4.2,11.1,35.5,66.3,35.4,31.7,29.6,12.8,1.1,26.8,19.5,19.5,32.3,79.7,15.0,35.4,28.4,11.0,5.5,17.3,10.2,10.2,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,07:00~21:00,總停等延滯,4051268.0,174609.0,75216.0,99393.0,166977.0,121552.0,45425.0,568376.0,277027.0,88716.0,202633.0,1663968.0,229244.0,790181.0,349880.0,294663.0,243776.0,11913.0,231863.0,165765.0,165765.0,752279.0,331935.0,160680.0,84149.0,175515.0,231617.0,62578.0,169039.0,83901.0,83901.0,nan,nan,351.9,249.9,-,-,-,-,-,-,112.5,44.8,46.2,124.5,-,125.4,227.9,56.0
2026-06-11,07:00~21:00,通過量,40224.0,12711.0,1907.0,10804.0,21953.0,11453.0,10500.0,65691.0,24747.0,21623.0,19321.0,47375.0,3475.0,22596.0,11424.0,9880.0,19972.0,11176.0,8796.0,9217.0,9217.0,23972.0,4229.0,10739.0,2442.0,6562.0,22096.0,11940.0,10156.0,8203.0,8203.0,0.0,0.0,10.3,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,07:00~21:00,平均停等延滯,100.7,13.7,39.4,9.2,7.6,10.6,4.3,8.7,11.2,4.1,10.5,35.1,66.0,35.0,30.6,29.8,12.2,1.1,26.4,18.0,18.0,31.4,78.5,15.0,34.5,26.7,10.5,5.2,16.6,10.2,10.2,-,-,E,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,06:30~08:30,總停等延滯,1097561.0,49051.0,5063.0,43988.0,53014.0,26168.0,26846.0,207167.0,58206.0,43943.0,105018.0,377260.0,58087.0,144280.0,98463.0,76430.0,78845.0,926.0,77919.0,86939.0,86939.0,181564.0,77603.0,10155.0,22169.0,71637.0,57138.0,12784.0,44354.0,6583.0,6583.0,nan,nan,593.1,392.0,-,-,-,-,-,-,163.5,127.5,47.3,243.0,-,149.0,339.8,125.9
2026-06-11,06:30~08:30,通過量,5946.0,1879.0,151.0,1728.0,3054.0,1326.0,1728.0,10438.0,2805.0,4107.0,3526.0,6722.0,575.0,2633.0,1596.0,1918.0,2741.0,1032.0,1709.0,1566.0,1566.0,3336.0,653.0,947.0,548.0,1188.0,2778.0,1273.0,1505.0,1375.0,1375.0,0.0,0.0,6.1,8.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,06:30~08:30,平均停等延滯,184.6,26.1,33.5,25.5,17.4,19.7,15.5,19.8,20.8,10.7,29.8,56.1,101.0,54.8,61.7,39.8,28.8,0.9,45.6,55.5,55.5,54.4,118.8,10.7,40.5,60.3,20.6,10.0,29.5,4.8,4.8,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,06:30~07:30,總停等延滯,482389.0,20103.0,1898.0,18205.0,10029.0,1164.0,8865.0,80979.0,14006.0,19026.0,47947.0,173100.0,26131.0,58034.0,52179.0,36756.0,37084.0,622.0,36462.0,43472.0,43472.0,81462.0,32161.0,3484.0,12449.0,33368.0,34323.0,6151.0,28172.0,1837.0,1837.0,nan,nan,535.4,272.2,-,-,-,-,-,-,71.4,63.7,27.6,157.7,-,114.5,390.2,81.5
2026-06-11,06:30~07:30,通過量,3066.0,1089.0,63.0,1026.0,1657.0,627.0,1030.0,5734.0,1291.0,2375.0,2068.0,3389.0,283.0,1062.0,826.0,1218.0,1535.0,425.0,1110.0,923.0,923.0,1713.0,275.0,396.0,286.0,756.0,1386.0,610.0,776.0,611.0,611.0,0.0,0.0,6.8,11.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,06:30~07:30,平均停等延滯,157.3,18.5,30.1,17.7,6.1,1.9,8.6,14.1,10.8,8.0,23.2,51.1,92.3,54.6,63.2,30.2,24.2,1.5,32.8,47.1,47.1,47.6,116.9,8.8,43.5,44.1,24.8,10.1,36.3,3.0,3.0,-,-,F,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,07:30~08:30,總停等延滯,615172.0,28948.0,3165.0,25783.0,42985.0,25004.0,17981.0,126188.0,44200.0,24917.0,57071.0,204160.0,31956.0,86246.0,46284.0,39674.0,41761.0,304.0,41457.0,43467.0,43467.0,100102.0,45442.0,6671.0,9720.0,38269.0,22815.0,6633.0,16182.0,4746.0,4746.0,nan,nan,650.8,511.8,-,-,-,-,-,-,255.6,191.2,63.7,328.4,-,183.5,289.3,170.3
2026-06-11,07:30~08:30,通過量,2880.0,790.0,88.0,702.0,1397.0,699.0,698.0,4704.0,1514.0,1732.0,1458.0,3333.0,292.0,1571.0,770.0,700.0,1206.0,607.0,599.0,643.0,643.0,1623.0,378.0,551.0,262.0,432.0,1392.0,663.0,729.0,764.0,764.0,0.0,0.0,5.6,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,07:30~08:30,平均停等延滯,213.6,36.6,36.0,36.7,30.8,35.8,25.8,26.8,29.2,14.4,39.1,61.3,109.4,54.9,60.1,56.7,34.6,0.5,69.2,67.6,67.6,61.7,120.2,12.1,37.1,88.6,16.4,10.0,22.2,6.2,6.2,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,07:00~09:00,總停等延滯,1176400.0,53772.0,6930.0,46842.0,70251.0,40250.0,30001.0,233751.0,78206.0,46264.0,109281.0,401608.0,60047.0,168370.0,96334.0,76857.0,77464.0,557.0,76907.0,83401.0,83401.0,186272.0,83931.0,12715.0,21122.0,68504.0,60688.0,12572.0,48116.0,9193.0,9193.0,nan,nan,646.2,463.0,-,-,-,-,-,-,197.9,146.4,62.9,304.6,-,158.4,357.6,142.1
2026-06-11,07:00~09:00,通過量,5897.0,1720.0,184.0,1536.0,2946.0,1371.0,1575.0,10037.0,2975.0,3776.0,3286.0,6740.0,609.0,2820.0,1593.0,1718.0,2711.0,1172.0,1539.0,1538.0,1538.0,3409.0,710.0,1076.0,539.0,1084.0,2732.0,1332.0,1400.0,1422.0,1422.0,0.0,0.0,5.6,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,07:00~09:00,平均停等延滯,199.5,31.3,37.7,30.5,23.8,29.4,19.0,23.3,26.3,12.3,33.3,59.6,98.6,59.7,60.5,44.7,28.6,0.5,50.0,54.2,54.2,54.6,118.2,11.8,39.2,63.2,22.2,9.4,34.4,6.5,6.5,-,-,F,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-06-11,10:00~12:00,總停等延滯,487655.0,14919.0,8774.0,6145.0,6580.0,3813.0,2767.0,41741.0,23838.0,6664.0,11239.0,174947.0,28759.0,66466.0,40925.0,38797.0,46407.0,1448.0,44959.0,23270.0,23270.0,96805.0,40215.0,21175.0,13635.0,21780.0,39539.0,6242.0,33297.0,43447.0,43447.0,nan,nan,427.6,217.7,-,-,-,-,-,-,58.4,21.1,65.3,85.4,-,132.2,371.8,34.7
